nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_204604_000;0.0;4.8;29.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204609_000;0.8;4.5;32.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204609_000;0.2;4.4;10.0;Tetvir;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204618_000;0.0;4.9;27.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204618_000;0.1;2.8;38.0;Testes;0.09;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204618_000;0.3;4.6;17.0;Tetvir;0.84;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204629_000;0.0;4.8;17.0;noise;0.44;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204629_000;0.0;5.0;32.0;Testes;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204629_000;1.2;4.2;9.0;Tetvir;0.91;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204640_000;0.1;0.6;28.0;Barfis;0.28;noise;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204640_000;1.1;3.1;10.0;Tetvir;0.93;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204647_000;0.3;4.4;17.0;noise;0.07;Phogri, Phanan;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204647_000;0.0;4.5;32.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204647_000;0.2;5.0;16.0;Tetvir;0.63;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204703_000;0.5;4.8;18.0;noise;0.05;Phogri, Phanan, Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204703_000;0.0;3.1;32.0;Testes;0.22;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204703_000;0.0;4.9;29.0;Tetvir;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204710_000;0.0;1.3;31.0;noise;0.08;Testes, Antsp, Yposp, Insp12;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204710_000;0.0;2.8;10.0;Tetvir;0.93;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204714_000;0.0;1.8;10.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204714_000;0.2;1.4;31.0;Testes;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204714_000;0.0;1.4;10.0;Tetvir;0.32;;;;;
