# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Antsp;habitat:Agricole-Foret;automne;5;25;79;3;Faible
Barbar;habitat:Agricole-Foret;automne;1;18;106;33;Faible
Barfis;habitat:Agricole-Foret;automne;1;5;2281;39;Faible
Confus;habitat:Agricole-Foret;automne;1;6;49;14;Faible
Cyrscu;habitat:Agricole-Foret;automne;2;8;3480;43;Moderee
Decalb;habitat:Agricole-Foret;automne;1;1;7;34;Faible
Epheph;habitat:Agricole-Foret;automne;1;79;515;46;Moderee
Eptser;habitat:Agricole-Foret;automne;1;8;171;55;Moderee
Eupsp;habitat:Agricole-Foret;automne;2;7;237;75;Moderee
gril;habitat:Agricole-Foret;automne;1;2;2;13;Faible
Hypsav;habitat:Agricole-Foret;automne;1;8;57;30;Faible
Inssp5;habitat:Agricole-Foret;automne;1;2;4;21;Faible
Isopyr;habitat:Agricole-Foret;automne;3;9;52;11;Faible
Lamsp.;habitat:Agricole-Foret;automne;1;12;144;15;Faible
Leppun;habitat:Agricole-Foret;automne;19;573;4119;116;Bonne
Micagr;habitat:Agricole-Foret;automne;1;9;40;55;Moderee
Mimasp;habitat:Agricole-Foret;automne;1;4;13;52;Moderee
Minsch;habitat:Agricole-Foret;automne;3;25;61;26;Faible
Mussp;habitat:Agricole-Foret;automne;1;3;5;15;Faible
Myoalc;habitat:Agricole-Foret;automne;3;10;13;13;Faible
Myocap;habitat:Agricole-Foret;automne;2;14;16;6;Faible
Myodau;habitat:Agricole-Foret;automne;3;15;48;65;Moderee
Myoema;habitat:Agricole-Foret;automne;2;7;25;57;Moderee
MyoGT;habitat:Agricole-Foret;automne;1;2;3;9;Faible
Myomys;habitat:Agricole-Foret;automne;5;59;273;70;Moderee
Myonat;habitat:Agricole-Foret;automne;3;36;1701;77;Moderee
noise;habitat:Agricole-Foret;automne;1358;4216;8928;130;Bonne
Nyclei;habitat:Agricole-Foret;automne;3;17;170;90;Moderee
