# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
MyoGT;region:Ile-de-France;ete;1;3;25;98;Moderee
Myomys;region:Ile-de-France;ete;1;7;124;540;Tres bonne
Myonat;region:Ile-de-France;ete;1;7;94;391;Bonne
noise;region:Ile-de-France;ete;299;2415;7379;1514;Tres bonne
Nyclei;region:Ile-de-France;ete;2;20;139;1030;Tres bonne
Nycnoc;region:Ile-de-France;ete;3;22;563;803;Tres bonne
Phafal;region:Ile-de-France;ete;1;2;94;21;Faible
Phanan;region:Ile-de-France;ete;7;265;3983;1155;Tres bonne
Phofem;region:Ile-de-France;ete;1;4;30;265;Bonne
Phogri;region:Ile-de-France;ete;4;65;5231;1252;Tres bonne
piaf;region:Ile-de-France;ete;20;158;774;997;Tres bonne
Pipkuh;region:Ile-de-France;ete;7;72;919;1300;Tres bonne
Pipnat;region:Ile-de-France;ete;2;15;281;940;Tres bonne
Pippip;region:Ile-de-France;ete;94;982;4119;1444;Tres bonne
Pippyg;region:Ile-de-France;ete;1;18;655;619;Tres bonne
Plaaff;region:Ile-de-France;ete;1;19;385;56;Moderee
Plaalb;region:Ile-de-France;ete;1;34;1223;304;Bonne
Plafal;region:Ile-de-France;ete;1;10;164;10;Faible
Plaint;region:Ile-de-France;ete;2;31;1571;879;Tres bonne
Plasab;region:Ile-de-France;ete;1;21;219;41;Moderee
Pleaur;region:Ile-de-France;ete;1;3;20;238;Bonne
Pleaus;region:Ile-de-France;ete;1;5;118;401;Bonne
Plemac;region:Ile-de-France;ete;1;2;8;24;Faible
Ratnor;region:Ile-de-France;ete;1;12;174;237;Bonne
Rhasp;region:Ile-de-France;ete;2;24;1040;186;Bonne
Rhieur;region:Ile-de-France;ete;1;6;223;99;Moderee
Rhifer;region:Ile-de-France;ete;1;9;611;90;Moderee
Rhihip;region:Ile-de-France;ete;2;24;437;234;Bonne
Roeroe;region:Ile-de-France;ete;1;10;622;459;Bonne
Rusnit;region:Ile-de-France;ete;1;31;1867;410;Bonne
Sepsep;region:Ile-de-France;ete;1;6;219;218;Bonne
Tadten;region:Ile-de-France;ete;2;12;174;246;Bonne
Testes;region:Ile-de-France;ete;1;22;4699;660;Tres bonne
Tetarg;region:Ile-de-France;ete;1;1;27;44;Moderee
Tetpyg;region:Ile-de-France;ete;1;1;9;13;Faible
Tetvir;region:Ile-de-France;ete;11;490;3549;1369;Tres bonne
Thycor;region:Ile-de-France;ete;1;1;1;13;Faible
Tyllil;region:Ile-de-France;ete;1;3;12;367;Bonne
Urosp;region:Ile-de-France;ete;1;5;90;356;Bonne
Yerray;region:Ile-de-France;ete;2;19;261;806;Tres bonne
Yposp;region:Ile-de-France;ete;1;9;327;882;Tres bonne
amph;region:Normandie;ete;1;2;3;3;Faible
Antsp;region:Normandie;ete;4;23;28;3;Faible
Barbar;region:Normandie;ete;2;13;112;33;Faible
Barfis;region:Normandie;ete;1;3;85;10;Faible
Confus;region:Normandie;ete;3;77;1124;15;Faible
Cyrscu;region:Normandie;ete;1;2;9;24;Faible
Epheph;region:Normandie;ete;2;12;32;27;Faible
Eptser;region:Normandie;ete;6;39;397;48;Moderee
Eupsp;region:Normandie;ete;1;5;8;30;Faible
Hypsav;region:Normandie;ete;1;3;9;14;Faible
Inssp5;region:Normandie;ete;1;2;3;12;Faible
Inssp7;region:Normandie;ete;2;7;29;18;Faible
Isopyr;region:Normandie;ete;7;53;87;14;Faible
Leppun;region:Normandie;ete;15;4128;6271;47;Moderee
Mimasp;region:Normandie;ete;1;2;6;18;Faible
Mussp;region:Normandie;ete;1;3;6;12;Faible
Myoalc;region:Normandie;ete;1;11;168;16;Faible
Myocap;region:Normandie;ete;3;21;103;11;Faible
Myodau;region:Normandie;ete;4;42;2074;41;Moderee
Myoema;region:Normandie;ete;3;15;104;38;Faible
MyoGT;region:Normandie;ete;2;5;13;15;Faible
Myomys;region:Normandie;ete;4;66;809;49;Moderee
Myonat;region:Normandie;ete;5;34;186;42;Moderee
noise;region:Normandie;ete;419;3423;7728;53;Moderee
Nyclei;region:Normandie;ete;3;20;74;44;Moderee
Nycnoc;region:Normandie;ete;1;2;4;20;Faible
Phanan;region:Normandie;ete;8;80;553;46;Moderee
Phofem;region:Normandie;ete;1;3;3;10;Faible
Phogri;region:Normandie;ete;7;1405;6256;48;Moderee
piaf;region:Normandie;ete;45;309;701;45;Moderee
Pipkuh;region:Normandie;ete;10;67;381;52;Moderee
Pipnat;region:Normandie;ete;2;8;66;31;Faible
Pippip;region:Normandie;ete;95;582;5060;53;Moderee
Pippyg;region:Normandie;ete;1;17;201;14;Faible
Plaalb;region:Normandie;ete;2;29;422;15;Faible
Plaint;region:Normandie;ete;3;119;681;36;Faible
Pleaur;region:Normandie;ete;2;6;9;23;Faible
Pleaus;region:Normandie;ete;2;8;29;36;Faible
Rhasp;region:Normandie;ete;5;23;100;11;Faible
Rhifer;region:Normandie;ete;4;10;49;32;Faible
Rhihip;region:Normandie;ete;2;4;8;15;Faible
Roeroe;region:Normandie;ete;1;10;160;16;Faible
Sepsep;region:Normandie;ete;2;20;41;13;Faible
Tadten;region:Normandie;ete;2;7;42;14;Faible
Testes;region:Normandie;ete;1;19;6774;34;Faible
Tetvir;region:Normandie;ete;11;650;3900;50;Moderee
Tyllil;region:Normandie;ete;1;3;4;18;Faible
Yerray;region:Normandie;ete;2;22;72;39;Faible
Yposp;region:Normandie;ete;1;4;57;36;Faible
amph;region:Nouvelle Aquitaine;ete;3;32;191;379;Bonne
Antsp;region:Nouvelle Aquitaine;ete;4;73;663;227;Bonne
Aposp;region:Nouvelle Aquitaine;ete;1;1;2;14;Faible
Barbar;region:Nouvelle Aquitaine;ete;3;27;167;2060;Tres bonne
Barfis;region:Nouvelle Aquitaine;ete;1;23;743;1345;Tres bonne
Condor;region:Nouvelle Aquitaine;ete;1;4;38;33;Faible
Confus;region:Nouvelle Aquitaine;ete;1;23;403;807;Tres bonne
criq;region:Nouvelle Aquitaine;ete;1;1;19;30;Faible
Cympud;region:Nouvelle Aquitaine;ete;1;6;186;425;Bonne
Cyrscu;region:Nouvelle Aquitaine;ete;1;96;4751;1164;Tres bonne
Decalb;region:Nouvelle Aquitaine;ete;1;2;14;395;Bonne
Epheph;region:Nouvelle Aquitaine;ete;2;46;664;1549;Tres bonne
Eptnil;region:Nouvelle Aquitaine;ete;1;2;7;193;Bonne
Eptser;region:Nouvelle Aquitaine;ete;6;62;599;2618;Tres bonne
Eupsp;region:Nouvelle Aquitaine;ete;1;10;109;1366;Tres bonne
gril;region:Nouvelle Aquitaine;ete;1;4;53;574;Tres bonne
Hypsav;region:Nouvelle Aquitaine;ete;2;12;246;913;Tres bonne
Insp11;region:Nouvelle Aquitaine;ete;1;1;2;19;Faible
Insp12;region:Nouvelle Aquitaine;ete;1;2;12;176;Bonne
Inssp5;region:Nouvelle Aquitaine;ete;1;2;11;502;Tres bonne
Inssp7;region:Nouvelle Aquitaine;ete;1;7;41;511;Tres bonne
Isopyr;region:Nouvelle Aquitaine;ete;10;88;1125;816;Tres bonne
Lamsp.;region:Nouvelle Aquitaine;ete;1;7;70;1035;Tres bonne
Leppun;region:Nouvelle Aquitaine;ete;7;809;5802;2457;Tres bonne
mamm;region:Nouvelle Aquitaine;ete;1;4;46;242;Bonne
Metbra;region:Nouvelle Aquitaine;ete;1;6;97;515;Tres bonne
Micagr;region:Nouvelle Aquitaine;ete;1;3;22;316;Bonne
Mimasp;region:Nouvelle Aquitaine;ete;1;3;19;866;Tres bonne
Minsch;region:Nouvelle Aquitaine;ete;1;7;67;934;Tres bonne
Mussp;region:Nouvelle Aquitaine;ete;1;5;47;264;Bonne
Myoalc;region:Nouvelle Aquitaine;ete;1;9;190;293;Bonne
Myobec;region:Nouvelle Aquitaine;ete;1;1;4;160;Bonne
Myocap;region:Nouvelle Aquitaine;ete;2;11;121;256;Bonne
Myodas;region:Nouvelle Aquitaine;ete;1;1;1;14;Faible
Myodau;region:Nouvelle Aquitaine;ete;2;13;561;1943;Tres bonne
Myoema;region:Nouvelle Aquitaine;ete;1;6;39;1474;Tres bonne
MyoGT;region:Nouvelle Aquitaine;ete;1;4;22;728;Tres bonne
Myomys;region:Nouvelle Aquitaine;ete;1;8;158;1565;Tres bonne
Myonat;region:Nouvelle Aquitaine;ete;2;16;87;1606;Tres bonne
noise;region:Nouvelle Aquitaine;ete;365;3357;6718;3082;Tres bonne
Nyclas;region:Nouvelle Aquitaine;ete;13;30;35;2;Faible
Nyclei;region:Nouvelle Aquitaine;ete;5;48;1256;2769;Tres bonne
Nycnoc;region:Nouvelle Aquitaine;ete;2;22;186;1650;Tres bonne
Phafal;region:Nouvelle Aquitaine;ete;1;4;40;336;Bonne
Phanan;region:Nouvelle Aquitaine;ete;7;543;3039;2333;Tres bonne
Phofem;region:Nouvelle Aquitaine;ete;1;5;53;734;Tres bonne
Phogri;region:Nouvelle Aquitaine;ete;7;100;2031;2744;Tres bonne
piaf;region:Nouvelle Aquitaine;ete;16;123;717;1370;Tres bonne
Pipkuh;region:Nouvelle Aquitaine;ete;17;192;2693;2782;Tres bonne
Pipnat;region:Nouvelle Aquitaine;ete;3;27;313;2158;Tres bonne
Pippip;region:Nouvelle Aquitaine;ete;49;550;2929;2871;Tres bonne
Pippyg;region:Nouvelle Aquitaine;ete;2;27;382;1408;Tres bonne
Plaaff;region:Nouvelle Aquitaine;ete;4;305;2640;386;Bonne
Plaalb;region:Nouvelle Aquitaine;ete;2;110;2334;1410;Tres bonne
Plafal;region:Nouvelle Aquitaine;ete;1;95;1978;85;Moderee
Plaint;region:Nouvelle Aquitaine;ete;2;54;873;1759;Tres bonne
Plasab;region:Nouvelle Aquitaine;ete;2;17;505;503;Tres bonne
Pleaur;region:Nouvelle Aquitaine;ete;1;5;79;986;Tres bonne
Pleaus;region:Nouvelle Aquitaine;ete;2;11;79;1714;Tres bonne
Plemac;region:Nouvelle Aquitaine;ete;1;4;20;192;Bonne
Ratnor;region:Nouvelle Aquitaine;ete;1;14;415;443;Bonne
Rhasp;region:Nouvelle Aquitaine;ete;2;29;352;369;Bonne
Rhieur;region:Nouvelle Aquitaine;ete;1;2;964;43;Moderee
Rhifer;region:Nouvelle Aquitaine;ete;2;12;85;904;Tres bonne
Rhihip;region:Nouvelle Aquitaine;ete;1;6;68;824;Tres bonne
Roeroe;region:Nouvelle Aquitaine;ete;1;16;250;1244;Tres bonne
Rusnit;region:Nouvelle Aquitaine;ete;3;722;4431;1648;Tres bonne
Sepsep;region:Nouvelle Aquitaine;ete;1;12;134;553;Tres bonne
Tadten;region:Nouvelle Aquitaine;ete;3;46;315;517;Tres bonne
Testes;region:Nouvelle Aquitaine;ete;2;220;4929;1865;Tres bonne
Tetarg;region:Nouvelle Aquitaine;ete;1;4;27;398;Bonne
Tetcan;region:Nouvelle Aquitaine;ete;1;108;127;11;Faible
Tetpyg;region:Nouvelle Aquitaine;ete;1;1;4;88;Moderee
Tetvir;region:Nouvelle Aquitaine;ete;54;1279;3548;2899;Tres bonne
Thycor;region:Nouvelle Aquitaine;ete;1;2;5;44;Moderee
Tyllil;region:Nouvelle Aquitaine;ete;1;6;47;933;Tres bonne
Urosp;region:Nouvelle Aquitaine;ete;2;501;3321;1253;Tres bonne
Vesmur;region:Nouvelle Aquitaine;ete;1;2;10;49;Moderee
Yerray;region:Nouvelle Aquitaine;ete;2;24;966;1565;Tres bonne
Yposp;region:Nouvelle Aquitaine;ete;2;16;284;2126;Tres bonne
amph;region:Occitanie;ete;1;9;107;392;Bonne
Antius;region:Occitanie;ete;1;2;6;10;Faible
Antsp;region:Occitanie;ete;6;107;1119;666;Tres bonne
Aposp;region:Occitanie;ete;1;7;52;33;Faible
Barbar;region:Occitanie;ete;2;12;106;2184;Tres bonne
Barfis;region:Occitanie;ete;1;13;1170;2424;Tres bonne
Bicbic;region:Occitanie;ete;2;17;97;18;Faible
cigale;region:Occitanie;ete;1;2;2;13;Faible
Condor;region:Occitanie;ete;1;14;154;23;Faible
Confus;region:Occitanie;ete;2;26;451;1609;Tres bonne
criq;region:Occitanie;ete;1;4;35;168;Bonne
Cympud;region:Occitanie;ete;1;15;536;703;Tres bonne
Cyrscu;region:Occitanie;ete;1;18;475;2347;Tres bonne
Decalb;region:Occitanie;ete;1;10;287;1556;Tres bonne
Epheph;region:Occitanie;ete;4;98;1462;3247;Tres bonne
Eptnil;region:Occitanie;ete;1;2;37;192;Bonne
Eptser;region:Occitanie;ete;3;26;311;4501;Tres bonne
Eupsp;region:Occitanie;ete;1;11;146;2701;Tres bonne
gril;region:Occitanie;ete;1;2;17;1001;Tres bonne
Hypsav;region:Occitanie;ete;3;25;329;2787;Tres bonne
Insp11;region:Occitanie;ete;1;1;3;13;Faible
Insp12;region:Occitanie;ete;1;3;13;348;Bonne
Inssp5;region:Occitanie;ete;1;2;10;949;Tres bonne
Inssp7;region:Occitanie;ete;1;8;137;942;Tres bonne
Inssp8;region:Occitanie;ete;1;1;1;10;Faible
Isopyr;region:Occitanie;ete;11;87;908;1444;Tres bonne
Lamsp.;region:Occitanie;ete;1;9;128;1938;Tres bonne
Leppun;region:Occitanie;ete;6;241;5411;5083;Tres bonne
mamm;region:Occitanie;ete;1;2;5;193;Bonne
Metbra;region:Occitanie;ete;1;12;159;1345;Tres bonne
Micagr;region:Occitanie;ete;1;2;41;388;Bonne
Mimasp;region:Occitanie;ete;1;3;42;1300;Tres bonne
Minsch;region:Occitanie;ete;2;14;166;2510;Tres bonne
Mussp;region:Occitanie;ete;1;3;23;258;Bonne
Myoalc;region:Occitanie;ete;1;6;64;537;Tres bonne
Myobec;region:Occitanie;ete;1;2;4;179;Bonne
Myocap;region:Occitanie;ete;2;28;736;457;Bonne
Myodas;region:Occitanie;ete;1;2;13;32;Faible
Myodau;region:Occitanie;ete;2;11;701;3272;Tres bonne
Myoema;region:Occitanie;ete;1;7;62;3483;Tres bonne
MyoGT;region:Occitanie;ete;1;4;29;614;Tres bonne
Myomys;region:Occitanie;ete;1;9;168;2992;Tres bonne
Myonat;region:Occitanie;ete;2;12;175;2750;Tres bonne
noise;region:Occitanie;ete;622;3752;7529;6324;Tres bonne
Nyclas;region:Occitanie;ete;1;6;53;83;Moderee
Nyclei;region:Occitanie;ete;4;29;284;4716;Tres bonne
Nycnoc;region:Occitanie;ete;1;9;111;1853;Tres bonne
Phafal;region:Occitanie;ete;1;5;103;603;Tres bonne
Phanan;region:Occitanie;ete;5;220;2861;4479;Tres bonne
Phofem;region:Occitanie;ete;1;14;367;1776;Tres bonne
Phogri;region:Occitanie;ete;6;133;2142;5239;Tres bonne
piaf;region:Occitanie;ete;19;155;882;3532;Tres bonne
Pipkuh;region:Occitanie;ete;14;233;1818;5491;Tres bonne
Pipnat;region:Occitanie;ete;2;18;174;3232;Tres bonne
Pippip;region:Occitanie;ete;30;473;3585;5879;Tres bonne
Pippyg;region:Occitanie;ete;4;86;1747;4283;Tres bonne
Plaaff;region:Occitanie;ete;5;101;1010;888;Tres bonne
Plaalb;region:Occitanie;ete;3;159;2571;2880;Tres bonne
Plafal;region:Occitanie;ete;1;14;1064;136;Bonne
Plaint;region:Occitanie;ete;3;159;3735;3676;Tres bonne
Plasab;region:Occitanie;ete;2;36;1459;1202;Tres bonne
Pleaur;region:Occitanie;ete;1;3;19;1629;Tres bonne
Pleaus;region:Occitanie;ete;1;6;46;2875;Tres bonne
Plemac;region:Occitanie;ete;1;2;11;244;Bonne
Pteger;region:Occitanie;ete;1;16;103;31;Faible
Ptepon;region:Occitanie;ete;2;20;222;13;Faible
Ratnor;region:Occitanie;ete;1;7;325;483;Bonne
Rhasp;region:Occitanie;ete;3;49;1097;951;Tres bonne
Rhieur;region:Occitanie;ete;1;6;68;287;Bonne
Rhifer;region:Occitanie;ete;1;7;292;1286;Tres bonne
Rhihip;region:Occitanie;ete;2;11;228;1934;Tres bonne
Roeroe;region:Occitanie;ete;1;15;224;2076;Tres bonne
Rusnit;region:Occitanie;ete;2;368;3849;2493;Tres bonne
Sepsep;region:Occitanie;ete;1;18;469;1270;Tres bonne
Tadten;region:Occitanie;ete;3;20;321;1442;Tres bonne
Testes;region:Occitanie;ete;3;291;5156;3620;Tres bonne
Tetarg;region:Occitanie;ete;1;4;42;531;Tres bonne
Tetcan;region:Occitanie;ete;2;10;73;34;Faible
Tetpyg;region:Occitanie;ete;1;1;21;147;Bonne
Tetvir;region:Occitanie;ete;31;1356;3847;5803;Tres bonne
Thycor;region:Occitanie;ete;1;1;3;82;Moderee
Tyllil;region:Occitanie;ete;1;15;247;2088;Tres bonne
Urosp;region:Occitanie;ete;2;118;2492;2130;Tres bonne
Vesmur;region:Occitanie;ete;1;3;27;132;Bonne
Yerbey;region:Occitanie;ete;1;1;2;35;Faible
Yerray;region:Occitanie;ete;3;53;2020;3615;Tres bonne
Yposp;region:Occitanie;ete;2;14;399;4015;Tres bonne
amph;region:Pays de la Loire;ete;2;11;86;153;Bonne
Antsp;region:Pays de la Loire;ete;3;66;1805;91;Moderee
Barbar;region:Pays de la Loire;ete;3;27;169;798;Tres bonne
Barfis;region:Pays de la Loire;ete;1;8;694;445;Bonne
Confus;region:Pays de la Loire;ete;1;29;686;395;Bonne
Cympud;region:Pays de la Loire;ete;1;10;246;123;Bonne
Cyrscu;region:Pays de la Loire;ete;1;7;2597;388;Bonne
Decalb;region:Pays de la Loire;ete;1;2;15;209;Bonne
Epheph;region:Pays de la Loire;ete;2;26;1108;604;Tres bonne
Eptnil;region:Pays de la Loire;ete;1;2;5;27;Faible
Eptser;region:Pays de la Loire;ete;3;28;489;931;Tres bonne
Eupsp;region:Pays de la Loire;ete;1;8;87;611;Tres bonne
gril;region:Pays de la Loire;ete;1;1;4;112;Bonne
Hypsav;region:Pays de la Loire;ete;2;10;320;412;Bonne
Insp12;region:Pays de la Loire;ete;1;3;14;42;Moderee
Inssp5;region:Pays de la Loire;ete;1;2;5;203;Bonne
Inssp7;region:Pays de la Loire;ete;1;3;26;175;Bonne
Isopyr;region:Pays de la Loire;ete;6;39;500;273;Bonne
Lamsp.;region:Pays de la Loire;ete;1;6;74;369;Bonne
Leppun;region:Pays de la Loire;ete;13;3146;7563;996;Tres bonne
mamm;region:Pays de la Loire;ete;1;1;9;33;Faible
Metbra;region:Pays de la Loire;ete;1;9;126;214;Bonne
Micagr;region:Pays de la Loire;ete;1;3;12;144;Bonne
Mimasp;region:Pays de la Loire;ete;1;3;11;405;Bonne
Minsch;region:Pays de la Loire;ete;1;3;11;120;Bonne
Mussp;region:Pays de la Loire;ete;1;3;13;127;Bonne
Myoalc;region:Pays de la Loire;ete;1;4;24;147;Bonne
Myobec;region:Pays de la Loire;ete;1;1;5;46;Moderee
Myocap;region:Pays de la Loire;ete;2;14;173;167;Bonne
Myodau;region:Pays de la Loire;ete;2;17;435;890;Tres bonne
Myoema;region:Pays de la Loire;ete;2;8;166;741;Tres bonne
MyoGT;region:Pays de la Loire;ete;1;4;19;267;Bonne
Myomys;region:Pays de la Loire;ete;3;23;241;845;Tres bonne
Myonat;region:Pays de la Loire;ete;3;17;110;729;Tres bonne
noise;region:Pays de la Loire;ete;847;3599;7980;1115;Tres bonne
Nyclas;region:Pays de la Loire;ete;4;10;13;2;Faible
Nyclei;region:Pays de la Loire;ete;3;18;237;884;Tres bonne
Nycnoc;region:Pays de la Loire;ete;2;13;637;552;Tres bonne
Phafal;region:Pays de la Loire;ete;1;4;43;50;Moderee
Phanan;region:Pays de la Loire;ete;10;635;3742;942;Tres bonne
Phofem;region:Pays de la Loire;ete;1;4;53;326;Bonne
Phogri;region:Pays de la Loire;ete;11;186;5668;1024;Tres bonne
piaf;region:Pays de la Loire;ete;20;239;819;824;Tres bonne
Pipkuh;region:Pays de la Loire;ete;27;349;3099;1083;Tres bonne
Pipnat;region:Pays de la Loire;ete;3;16;275;829;Tres bonne
Pippip;region:Pays de la Loire;ete;110;879;4472;1100;Tres bonne
Pippyg;region:Pays de la Loire;ete;1;12;505;587;Tres bonne
Plaaff;region:Pays de la Loire;ete;2;29;614;62;Moderee
Plaalb;region:Pays de la Loire;ete;2;54;2572;439;Bonne
Plafal;region:Pays de la Loire;ete;1;2;23;10;Faible
Plaint;region:Pays de la Loire;ete;2;32;1517;711;Tres bonne
Plasab;region:Pays de la Loire;ete;1;15;340;149;Bonne
Pleaur;region:Pays de la Loire;ete;1;3;18;412;Bonne
Pleaus;region:Pays de la Loire;ete;2;10;60;786;Tres bonne
Plemac;region:Pays de la Loire;ete;1;2;20;63;Moderee
Ratnor;region:Pays de la Loire;ete;1;5;72;100;Moderee
Rhasp;region:Pays de la Loire;ete;3;53;694;192;Bonne
Rhieur;region:Pays de la Loire;ete;1;41;2778;15;Faible
Rhifer;region:Pays de la Loire;ete;1;12;1089;345;Bonne
Rhihip;region:Pays de la Loire;ete;1;6;149;277;Bonne
Roeroe;region:Pays de la Loire;ete;1;17;342;470;Bonne
Rusnit;region:Pays de la Loire;ete;2;853;4121;487;Bonne
Sepsep;region:Pays de la Loire;ete;1;8;192;256;Bonne
Tadten;region:Pays de la Loire;ete;2;32;355;248;Bonne
Testes;region:Pays de la Loire;ete;3;262;6487;714;Tres bonne
Tetarg;region:Pays de la Loire;ete;1;1;6;50;Moderee
Tetpyg;region:Pays de la Loire;ete;1;1;2;15;Faible
Tetvir;region:Pays de la Loire;ete;32;1345;3240;1071;Tres bonne
Tyllil;region:Pays de la Loire;ete;1;3;10;321;Bonne
Urosp;region:Pays de la Loire;ete;1;48;2666;378;Bonne
Yerray;region:Pays de la Loire;ete;4;31;396;749;Tres bonne
Yposp;region:Pays de la Loire;ete;2;13;179;795;Tres bonne
amph;region:Provence-Alpes-Cote dAzur;ete;1;18;139;106;Bonne
Antsp;region:Provence-Alpes-Cote dAzur;ete;5;70;647;258;Bonne
Barbar;region:Provence-Alpes-Cote dAzur;ete;1;7;125;434;Bonne
Barfis;region:Provence-Alpes-Cote dAzur;ete;2;29;1666;852;Tres bonne
Condor;region:Provence-Alpes-Cote dAzur;ete;1;4;146;11;Faible
Confus;region:Provence-Alpes-Cote dAzur;ete;2;41;876;549;Tres bonne
criq;region:Provence-Alpes-Cote dAzur;ete;1;1;2;10;Faible
Cympud;region:Provence-Alpes-Cote dAzur;ete;1;28;354;333;Bonne
Cyrscu;region:Provence-Alpes-Cote dAzur;ete;2;19;535;779;Tres bonne
Decalb;region:Provence-Alpes-Cote dAzur;ete;1;10;307;501;Tres bonne
Epheph;region:Provence-Alpes-Cote dAzur;ete;3;71;1051;922;Tres bonne
Eptnil;region:Provence-Alpes-Cote dAzur;ete;1;2;8;75;Moderee
Eptser;region:Provence-Alpes-Cote dAzur;ete;4;29;251;1197;Tres bonne
Eupsp;region:Provence-Alpes-Cote dAzur;ete;2;30;686;915;Tres bonne
gril;region:Provence-Alpes-Cote dAzur;ete;1;2;43;268;Bonne
Hypsav;region:Provence-Alpes-Cote dAzur;ete;5;49;437;1138;Tres bonne
Insp12;region:Provence-Alpes-Cote dAzur;ete;1;2;11;66;Moderee
Inssp5;region:Provence-Alpes-Cote dAzur;ete;1;2;5;313;Bonne
Inssp7;region:Provence-Alpes-Cote dAzur;ete;1;6;77;321;Bonne
Inssp8;region:Provence-Alpes-Cote dAzur;ete;1;2;22;10;Faible
Isopyr;region:Provence-Alpes-Cote dAzur;ete;12;83;379;620;Tres bonne
Lamsp.;region:Provence-Alpes-Cote dAzur;ete;1;5;32;594;Tres bonne
Leppun;region:Provence-Alpes-Cote dAzur;ete;7;243;5900;1350;Tres bonne
mamm;region:Provence-Alpes-Cote dAzur;ete;1;1;3;80;Moderee
Metbra;region:Provence-Alpes-Cote dAzur;ete;1;10;105;332;Bonne
Micagr;region:Provence-Alpes-Cote dAzur;ete;1;2;17;193;Bonne
Mimasp;region:Provence-Alpes-Cote dAzur;ete;1;3;12;434;Bonne
Minsch;region:Provence-Alpes-Cote dAzur;ete;2;14;139;777;Tres bonne
Mussp;region:Provence-Alpes-Cote dAzur;ete;1;3;15;49;Moderee
Myoalc;region:Provence-Alpes-Cote dAzur;ete;1;6;50;74;Moderee
Myobec;region:Provence-Alpes-Cote dAzur;ete;1;1;12;53;Moderee
Myocap;region:Provence-Alpes-Cote dAzur;ete;2;14;127;217;Bonne
Myodas;region:Provence-Alpes-Cote dAzur;ete;1;1;5;12;Faible
Myodau;region:Provence-Alpes-Cote dAzur;ete;1;11;433;920;Tres bonne
Myoema;region:Provence-Alpes-Cote dAzur;ete;1;7;71;951;Tres bonne
MyoGT;region:Provence-Alpes-Cote dAzur;ete;1;4;14;248;Bonne
Myomys;region:Provence-Alpes-Cote dAzur;ete;1;7;224;763;Tres bonne
Myonat;region:Provence-Alpes-Cote dAzur;ete;2;11;107;937;Tres bonne
noise;region:Provence-Alpes-Cote dAzur;ete;414;2801;6912;1635;Tres bonne
Nyclas;region:Provence-Alpes-Cote dAzur;ete;2;5;35;11;Faible
Nyclei;region:Provence-Alpes-Cote dAzur;ete;5;40;233;1311;Tres bonne
Nycnoc;region:Provence-Alpes-Cote dAzur;ete;1;7;63;424;Bonne
Phafal;region:Provence-Alpes-Cote dAzur;ete;1;3;15;48;Moderee
Phanan;region:Provence-Alpes-Cote dAzur;ete;10;635;4223;1296;Tres bonne
Phofem;region:Provence-Alpes-Cote dAzur;ete;1;11;215;489;Bonne
Phogri;region:Provence-Alpes-Cote dAzur;ete;6;68;858;1369;Tres bonne
piaf;region:Provence-Alpes-Cote dAzur;ete;19;158;871;968;Tres bonne
Pipkuh;region:Provence-Alpes-Cote dAzur;ete;41;620;3842;1460;Tres bonne
Pipnat;region:Provence-Alpes-Cote dAzur;ete;4;49;359;1056;Tres bonne
Pippip;region:Provence-Alpes-Cote dAzur;ete;13;254;2751;1472;Tres bonne
Pippyg;region:Provence-Alpes-Cote dAzur;ete;7;201;3191;1176;Tres bonne
Plaaff;region:Provence-Alpes-Cote dAzur;ete;7;215;1836;287;Bonne
Plaalb;region:Provence-Alpes-Cote dAzur;ete;2;114;1861;652;Tres bonne
Plafal;region:Provence-Alpes-Cote dAzur;ete;1;120;514;52;Moderee
Plaint;region:Provence-Alpes-Cote dAzur;ete;5;464;4430;1176;Tres bonne
Plasab;region:Provence-Alpes-Cote dAzur;ete;1;30;848;203;Bonne
Pleaur;region:Provence-Alpes-Cote dAzur;ete;1;4;31;468;Bonne
Pleaus;region:Provence-Alpes-Cote dAzur;ete;2;10;79;980;Tres bonne
Plemac;region:Provence-Alpes-Cote dAzur;ete;1;4;13;178;Bonne
Pteger;region:Provence-Alpes-Cote dAzur;ete;2;40;389;11;Faible
Ratnor;region:Provence-Alpes-Cote dAzur;ete;1;6;68;200;Bonne
Rhasp;region:Provence-Alpes-Cote dAzur;ete;5;123;3394;489;Bonne
Rhieur;region:Provence-Alpes-Cote dAzur;ete;1;5;278;27;Faible
Rhifer;region:Provence-Alpes-Cote dAzur;ete;1;8;119;194;Bonne
Rhihip;region:Provence-Alpes-Cote dAzur;ete;2;8;177;497;Bonne
Roeroe;region:Provence-Alpes-Cote dAzur;ete;1;14;221;741;Tres bonne
Rusnit;region:Provence-Alpes-Cote dAzur;ete;1;45;2728;576;Tres bonne
Sepsep;region:Provence-Alpes-Cote dAzur;ete;2;36;908;570;Tres bonne
