# Taxons acceptes par l'API Vigie-Chiro (GET /taxons) — snapshot pour
# l'autocompletion/validation de la saisie observateur. Source de verite
# des codes envoyables ; regenerable via: python vigiechiro_api.py dump-taxons
code;libelle
SauIn3;Sauterelle sp. Inde type 3
Sausp1;Sauterelle sp 1 (Tettigonioidea sp. 1)
Sausp2;Sauterelle sp 2 (Tettigonioidea sp. 2)
Sepsep;Decticelle échassière (Sepiana sepium)
Sorcor;Musaraigne couronnée (Sorex coronatus)
Sormin;Musaraigne pygmée (Sorex minutus)
Tadten;Molosse (Tadarida teniotis)
Testes;Decticelle carroyée (Tessellana tessellata)
Tetarg;Cigale argentée (Tettigettalna argentata)
Tetcan;Sauterelle cymbalière (Tettigonia cantans)
Tethis;Sauterelle espagnole (Tettigonia hispanica)
Tetpyg;Cigale pygmée (Tettigettula pygmea)
Tetsp.;Tettigoniidae
Tetvir;Sauterelle verte (Tettigonia viridissima)
Thycor;Decticelle marocaine (Thyreonotus corsicus)
Trotro;Troglodyte mignon (Troglodytes troglodytes)
Turmer;Merle noir (Turdus merula)
Turphi;Grive musicienne (Turdus philomelos)
Tyllil;Phanéroptère liliacé (Tylopsis lilifolia)
Urobre;Ephippigère algérienne (Uromenus brevicollis)
Urorug;Ephippigère carénée (Uromenus rugosicollis)
Urosp;Ephippigère carénée/d'Algérie (Uromenus sp.)
Vesmur;Sérotine bicolore (Vespertilio murinus)
Vessp.;Vespertilionidae
wind;Vent
Yerbey;Decticelle italienne (Yersinella beybienkoi)
Yerray;Decticelle frêle (Yersinella raymondii)
Yposp;Hyponomeute sp. (Yponomeuta sp.)
Zeuabb;Decticelle aquitaine (Zeuneriana abbreviata)
